genres,id,keywords,title,overview,cast,director,combined
"['action', 'adventure', 'fantasy']",19995,"['cultureclash', 'future', 'spacewar']",avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['samworthington', 'zoesaldana', 'sigourneyweaver']",jamescameron,"[ ' c u l t u r e c l a s h ' ,   ' f u t u r e ' ,   ' s p a c e w a r ' ] [ ' s a m w o r t h i n g t o n ' ,   ' z o e s a l d a n a ' ,   ' s i g o u r n e y w e a v e r ' ] jamescameron [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['adventure', 'fantasy', 'action']",285,"['ocean', 'drugabuse', 'exoticisland']",pirates of the caribbean: at world's end,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['johnnydepp', 'orlandobloom', 'keiraknightley']",goreverbinski,"[ ' o c e a n ' ,   ' d r u g a b u s e ' ,   ' e x o t i c i s l a n d ' ] [ ' j o h n n y d e p p ' ,   ' o r l a n d o b l o o m ' ,   ' k e i r a k n i g h t l e y ' ] goreverbinski [ ' a d v e n t u r e ' ,   ' f a n t a s y ' ,   ' a c t i o n ' ]"
"['action', 'adventure', 'crime']",206647,"['spy', 'basedonnovel', 'secretagent']",spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['danielcraig', 'christophwaltz', 'léaseydoux']",sammendes,"[ ' s p y ' ,   ' b a s e d o n n o v e l ' ,   ' s e c r e t a g e n t ' ] [ ' d a n i e l c r a i g ' ,   ' c h r i s t o p h w a l t z ' ,   ' l é a s e y d o u x ' ] sammendes [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' c r i m e ' ]"
"['action', 'crime', 'drama']",49026,"['dccomics', 'crimefighter', 'terrorist']",the dark knight rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['christianbale', 'michaelcaine', 'garyoldman']",christophernolan,"[ ' d c c o m i c s ' ,   ' c r i m e f i g h t e r ' ,   ' t e r r o r i s t ' ] [ ' c h r i s t i a n b a l e ' ,   ' m i c h a e l c a i n e ' ,   ' g a r y o l d m a n ' ] christophernolan [ ' a c t i o n ' ,   ' c r i m e ' ,   ' d r a m a ' ]"
"['action', 'adventure', 'sciencefiction']",49529,"['basedonnovel', 'mars', 'medallion']",john carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['taylorkitsch', 'lynncollins', 'samanthamorton']",andrewstanton,"[ ' b a s e d o n n o v e l ' ,   ' m a r s ' ,   ' m e d a l l i o n ' ] [ ' t a y l o r k i t s c h ' ,   ' l y n n c o l l i n s ' ,   ' s a m a n t h a m o r t o n ' ] andrewstanton [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' s c i e n c e f i c t i o n ' ]"
"['fantasy', 'action', 'adventure']",559,"['dualidentity', 'amnesia', 'sandstorm']",spider-man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['tobeymaguire', 'kirstendunst', 'jamesfranco']",samraimi,"[ ' d u a l i d e n t i t y ' ,   ' a m n e s i a ' ,   ' s a n d s t o r m ' ] [ ' t o b e y m a g u i r e ' ,   ' k i r s t e n d u n s t ' ,   ' j a m e s f r a n c o ' ] samraimi [ ' f a n t a s y ' ,   ' a c t i o n ' ,   ' a d v e n t u r e ' ]"
"['animation', 'family']",38757,"['hostage', 'magic', 'horse']",tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['zacharylevi', 'mandymoore', 'donnamurphy']",byronhoward,"[ ' h o s t a g e ' ,   ' m a g i c ' ,   ' h o r s e ' ] [ ' z a c h a r y l e v i ' ,   ' m a n d y m o o r e ' ,   ' d o n n a m u r p h y ' ] byronhoward [ ' a n i m a t i o n ' ,   ' f a m i l y ' ]"
"['action', 'adventure', 'sciencefiction']",99861,"['marvelcomic', 'sequel', 'superhero']",avengers: age of ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['robertdowneyjr.', 'chrishemsworth', 'markruffalo']",josswhedon,"[ ' m a r v e l c o m i c ' ,   ' s e q u e l ' ,   ' s u p e r h e r o ' ] [ ' r o b e r t d o w n e y j r . ' ,   ' c h r i s h e m s w o r t h ' ,   ' m a r k r u f f a l o ' ] josswhedon [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' s c i e n c e f i c t i o n ' ]"
"['adventure', 'fantasy', 'family']",767,"['witch', 'magic', 'broom']",harry potter and the half-blood prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['danielradcliffe', 'rupertgrint', 'emmawatson']",davidyates,"[ ' w i t c h ' ,   ' m a g i c ' ,   ' b r o o m ' ] [ ' d a n i e l r a d c l i f f e ' ,   ' r u p e r t g r i n t ' ,   ' e m m a w a t s o n ' ] davidyates [ ' a d v e n t u r e ' ,   ' f a n t a s y ' ,   ' f a m i l y ' ]"
"['action', 'adventure', 'fantasy']",209112,"['dccomics', 'vigilante', 'superhero']",batman v superman: dawn of justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['benaffleck', 'henrycavill', 'galgadot']",zacksnyder,"[ ' d c c o m i c s ' ,   ' v i g i l a n t e ' ,   ' s u p e r h e r o ' ] [ ' b e n a f f l e c k ' ,   ' h e n r y c a v i l l ' ,   ' g a l g a d o t ' ] zacksnyder [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
